OTUs;Kingdom;Phylum;Class;Order;Family;Genus;A;B;C;D;E;F;G;H;I;J;K;L;M;N
98_2739;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia;0;0;1;0;0;0;0;0;0;0;1;0;0;0
98_2739;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;4;5;120;55;116;121;128;204;150;276;406;187;212;266
98_27407;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Diutina;NA;1;0;0;0;0;1;0;0;0;0;0;0;0;0
98_27611;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Saturnispora;0;3;1;0;0;3;0;0;0;0;0;0;0;0
98_2794;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;0;0;0;0;0;0;0;0;10;3
98_2794;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;0;4;4;3;2;3;0;2;0;1;0;1;0;0
98_2797;Eukaryota;Mucoromycota;Mucorales;Mucorales;Mucoraceae;NA;1;0;0;0;0;0;0;0;0;0;0;0;0;1
98_2798;Eukaryota;Mucoromycota;Mucorales;Mucorales;Rhizopodaceae;Rhizopus;6;1;1;0;3;1;0;0;0;0;2;0;0;0
98_2798;Eukaryota;Mucoromycota;Mucorales;Mucorales;Rhizopodaceae;NA;1;0;0;0;1;0;0;0;0;0;0;0;0;0
98_2805;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;4;0;2;0;0;0;0;0;1;0;0;0;0;0
98_2806;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;0;5;3;0;3;3;0;0;0;1;1;0;0;0
98_2807;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;5;3;6;4;1;3;2;5;4;3;2;5;3;2
98_28173;Eukaryota;Ascomycota;Dothideomycetes;NA;NA;NA;1;0;2;0;0;0;0;0;0;0;0;0;0;0
98_28174;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;NA;0;0;0;0;0;0;0;0;1;0;1;0;0;0
98_2842;Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;Coriolaceae;Trametes;1;4;3;1;2;0;0;0;0;0;0;0;0;0
98_2842;Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;NA;NA;5;2;0;0;2;0;0;0;0;0;0;0;0;1
98_2843;Eukaryota;Basidiomycota;Agaricomycetes;NA;NA;NA;12;0;2;0;2;1;1;0;0;0;1;0;0;1
98_2843;Eukaryota;Basidiomycota;NA;NA;NA;NA;6;1;1;0;0;0;0;0;0;0;2;0;0;0
98_28629;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;0;0;0;0;1;0;0;1;0;0;0;0;0;0
98_28654;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;0;4;2;1;0;1;0;0;0;0;0;0;0;0
98_28702;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;1;0;1;0;0;0;0;0;0
98_294;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cronobacter;1;0;0;1;0;1;0;1;1;0;0;0;0;0
98_29647;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Scheffersomyces;0;1;0;0;0;0;0;0;0;0;0;1;0;0
98_29647;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;NA;3;0;0;0;1;2;0;0;0;2;0;0;0;0
98_29692;Eukaryota;NA;NA;NA;NA;NA;0;1;0;0;0;1;0;3;0;0;0;0;0;0
98_29824;Eukaryota;NA;NA;NA;NA;NA;0;0;0;0;0;1;1;0;0;0;0;0;0;0
98_30223;Eukaryota;Basidiomycota;NA;NA;NA;NA;1;1;0;0;0;0;0;0;0;0;0;1;0;0
98_304;Eukaryota;NA;NA;NA;NA;NA;2;0;1;0;1;0;0;0;0;0;0;0;0;0
98_3055;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Elioraea;Elioraea;0;0;7;4;1;2;3;7;0;0;1;3;4;4
98_3072;Eukaryota;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;Malassezia;6;11;4;2;0;1;7;1;1;1;0;0;0;3
98_32739;Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;2
98_32776;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;0;0;1;1;0;0;0;0;0;0;0;1;0;0
98_3302;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;0;0;0;0;0;0;0;0;1;0;1;0;0;0
98_33966;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;0;0;0;2;0;1;0;0;0;0;0;0;0;0
98_3398;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;1
98_3446;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;3;2;2;1;0;0;0;0;0;2;0;0;0;0
98_3534;Eukaryota;NA;NA;NA;NA;NA;4;2;1;2;0;0;1;0;0;1;0;1;0;0
98_35356;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;1;1;1;0;0;1;0;0;0;0;0;0;0;0
98_35655;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;0;2;0;0;0;2;1;0;0;0;0;0;0;0
98_35655;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;NA;3;4;6;3;5;1;0;4;0;0;1;0;0;0
98_3588;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;20;8;3;8;12;13;0;9;0;1;0;3;0;2
98_3588;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;23;4;7;22;12;20;1;4;1;5;0;3;0;4
98_3649;Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;NA;5;1;1;0;3;1;1;0;1;0;0;0;0;1
98_3681;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia;6;18;35;32;18;20;11;20;26;26;9;13;3;16
98_3681;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;1;1;3;2;5;12;9;24;17;44;46;26;21;50
98_37;Eukaryota;Ascomycota;Pezizomycetes;Pezizales;NA;NA;0;0;0;0;0;2;0;0;0;1;0;0;0;0
98_37330;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;0;0;0;0;1;0;0;0;0;0;0;1;0;0
98_3810;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;NA;4;2;9;2;2;13;0;0;0;5;1;3;0;0
98_3810;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;4;8;5;0;0;11;1;1;0;4;0;1;0;1
98_3811;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;NA;NA;0;0;2;0;0;1;0;0;0;0;0;0;0;0
98_387;Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Actinomycetospora;0;0;2;0;0;0;0;0;0;0;0;0;0;0
98_38894;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;6;10;8;7;0;13;0;1;1;1;1;0;0;0
98_38894;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;4;1;0;1;3;1;0;0;0;1;0;0;0;0
98_3910;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;9;16;0;8;3;13;0;6;5;2;0;1;0;4
98_3910;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;1;0;0;1;0;1;1;0;0;1;0;0;0;0
98_3912;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas;0;0;0;0;0;0;0;0;0;2;0;0;0;0
98_3981;Eukaryota;Mucoromycota;Mucorales;Mucorales;Phycomycetaceae;Phycomyces;55;5;14;6;39;9;1;3;0;1;4;0;0;0
98_3981;Eukaryota;Mucoromycota;Mucorales;Mucorales;NA;NA;7;1;2;0;6;0;0;0;0;3;0;0;0;0
98_4024;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter;1;3;17;46;9;25;14;62;71;55;31;32;4;40
98_4024;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;4;5;4;1;0;2;1;1;4;0;2;2
98_4035;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;0;3;34;12;0;5;2;0;7;2;89;9;29;1
98_4035;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;2;8;7;5;0;1;0;1;0;1;2;3;0;0
98_4038;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;NA;227;346;429;180;282;345;68;106;78;154;35;58;8;38
98_40589;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;NA;1;0;0;0;0;0;0;0;0;1;0;0;0;0
98_415;Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Nannochloris;0;1;0;0;0;1;0;0;0;0;0;0;0;0
98_4158;Eukaryota;Basidiomycota;Malasseziomycetes;Malasseziales;Malasseziaceae;NA;0;2;0;0;0;1;0;0;0;0;0;0;0;0
98_4280;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Tanticharoenia;2;5;4;1;5;8;0;2;2;2;0;1;0;0
98_4280;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;3;3;7;1;3;1;2;1;6;2;2;1;0;1
98_429;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;1;0;0;0;0;3;0;0;0;1;0;0;0;0
98_429;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;28;30;4;14;19;30;2;2;2;10;1;9;0;5
98_429;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;14;20;11;21;11;17;1;2;2;7;0;2;1;0
98_429;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;1;2;0;5;2;5;0;1;1;4;1;1;0;2
98_4299;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;4;0;0;0;0;2;0;1;0;0;0;1;0;0
98_4339;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Saturnispora;2;0;0;0;0;0;0;0;0;0;1;0;0;0
98_4356;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;1;0;0;0;0;0;0;0;0;0;40;0;205;1
98_4366;Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;5;9;31;30;39;41;67;115;80;104;143;92;117;92
98_4369;Eukaryota;NA;NA;NA;NA;NA;2;2;0;0;0;0;0;0;0;0;0;0;0;0
98_43693;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;1;0;1;3;0;0;0;0;0;0;0;0
